"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1514,2,1514.20833333333,3,0,0,-1.347478,-1.184597,-1.421655,-1.625745,-1.505119,-1.687404,-1.587819,-1.252338,-1.19098
1514,3,1514.29166666667,2,3.350968,1.06063,0.898319,-0.394866,-0.355414,-0.650298,-0.903071,-0.843702,-1.058546,-1.001871,-0.714588
1514,4,1514.375,1,2.010581,3.18189,1.347478,1.184597,0,0,-0.301024,-0.562468,-0.529273,-0.751403,-0.714588
1514,5,1514.45833333333,0,0.670194,1.590945,2.694956,1.184597,1.066241,0,0,-0.281234,-0.529273,-0.500935,-0.714588
1514,6,1514.54166666667,0,0,0.530315,1.347478,2.369195,1.066241,0.975447,0,0,-0.264636,-0.500935,-0.476392
1514,7,1514.625,-1,-0.670194,-0.530315,0,0.789732,1.777069,0.650298,0.602047,-0.281234,-0.264636,-0.500935,-0.714588
1514,8,1514.70833333333,0,-0.670194,-0.530315,-0.449159,0,0.710827,1.625745,0.602047,0.562468,-0.264636,-0.250468,-0.476392
1514,9,1514.79166666667,2,1.340387,0.530315,0.449159,0.394866,0.710827,1.300596,2.107166,1.124936,1.058546,0.250468,0.238196
1514,10,1514.875,3,3.350968,2.651575,1.796638,1.579463,1.421655,1.625745,2.107166,2.81234,1.852455,1.753274,0.952784
1514,11,1514.95833333333,3,4.021161,4.24252,3.593275,2.76406,2.487896,2.276043,2.40819,2.81234,3.440274,2.504677,2.38196
1514,12,1515.04166666667,-1,1.340387,2.651575,3.144116,2.76406,2.132482,1.950894,1.806142,1.968638,2.381728,3.005612,2.143764
1515,1,1515.125,3,1.340387,2.651575,3.593275,3.948658,3.554137,2.926341,2.709214,2.531106,2.646365,3.005612,3.57294
1515,2,1515.20833333333,2,3.350968,2.12126,3.144116,3.948658,4.264964,3.901788,3.311261,3.093574,2.911001,3.005612,3.334744
1515,3,1515.29166666667,3,3.350968,4.24252,3.144116,3.948658,4.620378,4.877235,4.515356,3.937276,3.704911,3.506547,3.57294
1515,4,1515.375,2,3.350968,3.712205,4.491594,3.553792,4.264964,4.877235,5.117404,4.780978,4.234184,4.007483,3.811136
